NutsID,DICOFRE,region_name,year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
111160101,160101,Aboim das ChoÃ§as,1999,49,73,7,6,62,26,22,14,2,0,2,0,166418.0,2101.0
111160101,160101,Aboim das ChoÃ§as,2009,30,57,4,4,50,24,19,8,1,0,0,0,102370.0,1118.5
111160101,160101,Aboim das ChoÃ§as,2019,15,61,11,7,34,15,13,6,2,1,0,0,101072.0,1921.9
111160102,160102,AguiÃ£,1999,71,99,2,2,78,37,25,16,4,0,3,0,168765.0,1059.0
111160102,160102,AguiÃ£,2009,23,82,8,4,66,38,20,7,2,1,1,0,141807.0,1227.0
111160102,160102,AguiÃ£,2019,24,68,5,2,70,38,27,5,3,0,2,0,156561.0,1642.8
111160104,160104,Ãzere,1999,46,56,0,2,55,24,20,11,5,0,5,0,121287.0,2133.5
111160104,160104,Ãzere,2009,28,42,2,6,29,17,10,2,2,0,1,0,90852.0,1629.6
111160104,160104,Ãzere,2019,3,48,12,5,18,11,5,2,1,0,1,0,140132.0,2428.6
111160105,160105,Cabana Maior,1999,80,77,2,0,98,53,32,13,4,0,3,0,342229.0,159.7
111160105,160105,Cabana Maior,2009,42,22,1,0,33,19,11,3,0,0,0,0,163891.0,102.8
111160105,160105,Cabana Maior,2019,24,34,5,0,25,15,9,1,0,0,0,0,189450.0,152.7
111160106,160106,Cabreiro,1999,209,108,1,1,234,113,70,51,2,0,2,0,623085.0,283.7
111160106,160106,Cabreiro,2009,152,104,8,4,177,90,57,30,2,0,1,0,504842.0,210.4
111160106,160106,Cabreiro,2019,66,107,23,8,114,71,32,11,9,6,3,0,612235.0,221.4
111160108,160108,Cendufe,1999,83,90,9,7,75,38,24,14,3,1,2,0,156077.0,1675.5
111160108,160108,Cendufe,2009,32,61,14,3,69,32,30,6,3,0,3,0,111995.0,1259.8
111160108,160108,Cendufe,2019,5,35,6,4,30,17,10,3,3,2,1,0,80108.0,1292.5
111160109,160109,Couto,1999,80,93,7,2,70,35,22,13,11,2,9,0,150135.0,1638.9
111160109,160109,Couto,2009,24,45,4,1,38,19,13,6,3,1,2,0,67211.0,1227.6
111160109,160109,Couto,2019,13,70,17,4,26,13,8,5,2,0,1,0,132006.0,2053.3
111160113,160113,Gavieira,1999,136,114,9,1,169,81,61,28,1,0,1,0,455434.0,637.9
111160113,160113,Gavieira,2009,111,113,10,3,135,72,49,14,2,1,1,0,644006.0,1808.4
111160113,160113,Gavieira,2019,103,114,36,18,67,34,22,10,3,2,1,0,1262534.0,444.4
111160115,160115,Gondoriz,1999,231,229,17,9,185,89,53,43,8,2,5,0,623874.0,675.3
111160115,160115,Gondoriz,2009,108,185,21,3,170,80,51,39,5,1,3,1,584747.0,535.4
111160115,160115,Gondoriz,2019,34,219,29,16,144,77,49,18,6,1,5,0,856323.0,618.5
111160121,160121,Miranda,1999,141,72,6,1,123,59,39,24,1,0,1,0,160308.0,878.3
111160121,160121,Miranda,2009,74,70,6,1,73,44,20,9,1,0,0,0,223743.0,566.9
111160121,160121,Miranda,2019,40,72,3,2,58,36,17,5,1,0,1,0,216428.0,565.7
111160122,160122,Monte Redondo,1999,57,104,2,3,98,46,36,16,17,4,13,0,163449.0,1796.5
111160122,160122,Monte Redondo,2009,35,61,3,5,42,22,16,5,2,0,2,0,108546.0,1477.4
111160122,160122,Monte Redondo,2019,5,55,6,3,16,9,4,3,0,0,0,0,95561.0,1679.5
111160123,160123,Oliveira,1999,42,91,9,1,70,35,25,9,5,1,4,0,272732.0,4135.4
111160123,160123,Oliveira,2009,30,47,8,6,39,20,12,8,4,3,1,0,126457.0,2148.1
111160123,160123,Oliveira,2019,8,68,14,5,23,11,7,5,4,3,1,0,287444.0,2887.1
111160124,160124,PaÃ§Ã´,1999,27,51,22,8,50,26,17,7,37,27,11,0,842072.0,7371.7
111160124,160124,PaÃ§Ã´,2009,13,57,12,13,49,23,18,8,22,18,4,0,607403.0,6195.5
111160124,160124,PaÃ§Ã´,2019,11,49,13,13,22,12,7,3,26,16,10,0,369985.0,2633.9
111160125,160125,Padroso,1999,82,84,8,5,98,47,31,20,1,0,1,0,212841.0,1349.7
111160125,160125,Padroso,2009,38,78,10,0,87,44,27,16,0,0,0,0,146176.0,485.5
111160125,160125,Padroso,2019,9,29,3,2,30,13,10,7,6,6,0,0,560826.0,1811.2
111160128,160128,Prozelo,1999,122,102,4,6,105,56,35,15,11,3,8,0,231364.0,1884.5
111160128,160128,Prozelo,2009,60,79,10,1,61,35,20,6,3,0,2,0,156895.0,1352.9
111160128,160128,Prozelo,2019,28,88,17,1,80,46,33,2,2,1,1,0,196338.0,1384.4
111160130,160130,Rio Frio,1999,246,143,9,3,243,122,79,42,6,2,3,0,419459.0,700.3
111160130,160130,Rio Frio,2009,102,167,23,1,212,118,69,24,1,0,0,0,411148.0,861.9
111160130,160130,Rio Frio,2019,41,88,19,3,41,26,12,4,2,0,1,0,240910.0,606.0
111160131,160131,Rio de Moinhos,1999,128,81,4,1,92,47,32,14,4,1,3,0,195851.0,1650.0
111160131,160131,Rio de Moinhos,2009,23,82,5,4,70,41,22,7,1,0,1,0,130468.0,919.2
111160131,160131,Rio de Moinhos,2019,38,49,12,7,58,35,17,7,2,0,1,0,140672.0,1467.9
111160133,160133,Sabadim,1999,135,134,5,2,128,56,44,28,6,0,5,0,263936.0,1315.5
111160133,160133,Sabadim,2009,50,93,8,3,80,38,27,16,2,1,2,0,139995.0,627.7
111160133,160133,Sabadim,2019,13,73,10,3,48,26,19,3,1,0,1,0,154778.0,1054.1
111160142,160142,Jolda (SÃ£o Paio),1999,58,104,17,7,83,32,26,25,5,2,3,0,206389.0,2303.5
111160142,160142,Jolda (SÃ£o Paio),2009,11,62,14,7,48,22,17,9,5,2,3,0,95462.0,1422.7
111160142,160142,Jolda (SÃ£o Paio),2019,4,33,11,10,31,17,10,4,10,8,2,0,128485.0,2473.7
111160144,160144,Senharei,1999,130,99,3,0,88,40,26,22,1,0,0,1,224065.0,842.0
111160144,160144,Senharei,2009,43,86,12,1,98,52,27,20,1,0,0,0,192583.0,799.8
111160144,160144,Senharei,2019,16,59,3,1,43,22,15,7,1,1,0,0,123967.0,1489.6
111160145,160145,Sistelo,1999,186,106,4,0,181,93,54,35,2,0,1,0,443094.0,326.3
111160145,160145,Sistelo,2009,90,96,7,0,116,58,40,18,1,0,0,0,496341.0,180.4
111160145,160145,Sistelo,2019,46,73,10,6,92,51,27,15,2,1,0,1,581940.0,300.9
111160146,160146,Soajo,1999,277,258,22,4,280,154,95,32,4,0,4,0,762554.0,272.0
111160146,160146,Soajo,2009,110,177,10,1,178,99,59,21,3,1,1,0,649546.0,167.8
111160146,160146,Soajo,2019,44,173,42,9,101,61,27,13,11,8,3,1,852847.0,238.8
111160149,160149,Vale,1999,134,179,9,6,158,75,53,30,5,0,4,0,319913.0,905.3
